userId,movieId,realRating,estRating
1,223,3.0,3.6116231544555792
1,349,4.0,4.0048652284401545
1,527,5.0,4.146800015729552
3,527,0.5,3.610406582768635
4,357,3.0,2.097807149281491
5,110,4.0,3.703914236267373
5,534,3.0,3.030275474197527
5,589,3.0,3.9517628372514815
6,41,4.0,3.8755052497338434
6,105,3.0,3.5633884862913567
6,151,4.0,3.642553934366452
6,204,3.0,3.2947554973477193
6,355,4.0,3.166171955960739
6,357,3.0,3.9031830303462858
6,477,4.0,3.370862726059867
6,532,3.0,2.7951604058617567
6,592,3.0,3.4170858651328775
7,260,5.0,4.8752845849163675
8,150,4.0,4.109599280860392
8,377,4.0,3.341816677517407
8,457,3.0,4.067866206803766
11,165,3.0,3.8934652241436414
11,292,4.0,3.7161156073638417
11,376,2.0,2.9544403252478
11,480,4.0,3.8098080188231416
12,357,3.5,5.0
14,19,1.0,2.3900520669722294
14,39,3.0,3.2828884056551955
14,47,5.0,3.796041907132022
14,318,3.0,4.194463159134168
14,509,5.0,3.7397714648860445
14,527,3.0,4.341677497724373
14,553,4.0,4.226079213297744
18,1,3.5,3.809197941027707
18,145,3.5,3.007394461488606
18,165,4.0,3.5928213104111677
18,296,4.0,4.288366912985703
18,374,2.5,1.9982539871319513
18,500,3.5,3.5105114592733027
18,541,4.0,3.6831741510902596
19,19,2.0,2.5643965571989087
19,92,2.0,2.720292218133646
19,153,2.0,2.3805359566482434
19,344,2.0,2.4060643354816817
19,348,2.0,2.9013157526483173
19,364,3.0,3.352452319596649
19,541,4.0,3.4522687783677277
19,589,5.0,2.919556454647943
19,592,5.0,2.417190981488651
19,597,3.0,2.565342098777328
20,34,4.0,4.709991017134835
20,317,3.5,3.89957489668369
21,356,4.5,3.581524627774648
21,370,5.0,2.9768488653889635
21,541,3.5,3.474310613865778
21,586,2.5,3.519568751881145
23,175,3.0,4.136905439961821
26,47,4.0,3.5872181121580606
27,158,2.0,3.180411326463501
28,62,3.5,2.89820104312036
28,224,3.0,3.008429611662863
28,590,4.0,3.0197203312880667
28,599,3.0,3.007211904299473
29,150,4.0,3.9011461026812833
29,170,3.0,3.527017907411264
29,296,3.5,3.9964677110414364
30,260,5.0,4.913009189987118
31,17,3.0,3.8769067843711684
32,36,4.0,3.1235067852254534
32,140,3.0,3.2220957012492746
32,260,5.0,4.413746353638545
32,593,5.0,4.477052760775691
33,36,5.0,4.086300439055139
33,151,4.0,3.4750373024544237
33,508,3.0,3.5413475417402056
33,593,5.0,4.602873024750169
34,10,5.0,2.3445321252653097
35,185,5.0,2.883821226479691
38,39,3.0,2.2488597320165487
38,377,3.0,3.0072219194083356
38,485,3.0,2.5107214474349053
39,50,5.0,4.951738084551187
39,592,4.0,3.736989752593376
39,610,4.0,3.754181270070565
40,150,5.0,3.5163075656342087
40,151,4.0,3.979592582111583
40,158,4.0,2.9142685774656627
40,224,4.0,2.9890174549625304
40,434,3.0,3.363749219204683
40,454,4.0,3.495012565386287
41,111,2.0,3.3424622181371255
42,104,4.0,3.644140918818702
42,193,3.0,2.492442324037547
42,383,4.0,3.5441137615527527
42,527,4.0,4.79952064775409
42,553,5.0,4.212936883382117
42,592,3.0,3.9215197311244165
43,95,4.0,3.416270820543043
43,367,5.0,5.0
43,454,4.0,3.9302089439279895
43,592,5.0,3.7253689524573623
44,36,4.0,3.811268174200137
45,185,3.0,2.5711195216694955
45,541,3.0,4.622591708294374
45,586,3.0,3.377239167770846
45,594,4.0,3.941795523017673
46,39,3.0,4.0656305870065195
46,266,5.0,4.0489354116933205
46,588,5.0,4.078510782354746
47,597,3.0,2.809661683805281
49,356,4.0,3.8964556339469385
50,165,3.0,2.5206556624136836
50,296,4.0,3.52864396973908
51,377,3.0,4.0159394562197726
54,1,3.0,3.007131909412258
54,50,3.0,3.7486604114879385
54,329,3.0,2.688662573875068
54,480,3.0,3.156976442235031
54,590,3.0,2.886343434211959
56,110,4.0,4.621701264557645
56,165,3.0,4.044230154522717
56,208,4.0,3.310917345984212
56,367,3.0,4.279995495292306
56,434,3.0,3.5254740458166802
56,480,5.0,4.158473026387098
56,493,4.0,4.056130052039025
57,11,3.0,3.530795886290882
57,69,4.0,3.56127361510793
57,349,4.0,3.531451741037246
57,485,3.0,2.9987121830425294
57,516,2.0,2.4423321144625887
57,587,2.0,2.9758932549210746
57,590,3.0,3.397235511437313
58,19,1.0,3.5892347788174237
58,36,4.0,4.252644486278054
58,161,4.0,4.0128248063484735
58,337,5.0,3.84482855797244
58,344,1.0,3.6845852462978614
58,349,3.0,3.448561948750698
58,353,3.0,4.101766553237082
58,588,5.0,4.242082884705931
58,597,5.0,3.62152011973844
59,111,5.0,3.6588737445429915
59,541,5.0,4.06064787543018
60,60,3.0,2.521949097075387
60,318,4.0,3.7315174383997367
63,10,3.0,3.4496353715224197
63,150,3.0,3.645615739686927
63,318,5.0,4.40166561649011
63,480,2.5,3.9232719419658832
64,25,3.5,3.7281281988999373
64,36,4.0,4.338169081395332
64,104,3.0,3.0845541833352694
64,112,3.0,3.1673630514825426
64,160,2.5,2.901961663197414
64,344,3.5,2.9300011398235695
64,597,3.5,3.662314023671481
66,21,4.0,3.951457870487145
66,541,5.0,4.366536374647855
66,555,3.5,3.43616143009016
66,590,4.5,3.8176492174524093
68,1,2.5,3.750205241659536
68,10,4.5,3.255470831051831
68,160,2.5,2.662376274494161
68,165,3.5,3.396812888404372
68,231,3.5,3.1906448430881715
68,317,2.5,2.6622174827904246
68,357,1.0,3.261640264041235
68,377,5.0,2.7039567287615256
68,380,3.5,3.034378380804462
68,420,1.0,2.693179553281686
68,594,3.0,2.870559335423142
68,597,4.5,3.655635476152884
69,589,4.0,3.782934875195349
69,593,5.0,5.0
71,17,1.0,3.7076343361436375
71,160,3.0,2.665767550642059
72,260,5.0,4.536144300317969
72,457,4.5,4.443577150742772
72,593,4.5,4.566973216213089
73,150,2.0,3.0995945362344024
75,47,2.0,4.036197164158979
76,296,4.5,3.5808798964806643
76,588,0.5,2.2354930436045457
76,589,3.5,1.8577631498707587
79,480,5.0,4.288513502221271
80,593,5.0,4.567208210508059
81,296,3.0,3.0078768801728817
81,329,4.0,2.265031204926437
81,364,2.0,3.309485907770488
81,367,1.0,2.7060322972513946
82,104,3.5,3.764030050929569
82,231,4.0,3.239464038418683
83,110,4.0,3.284940351651951
84,17,5.0,3.925566675658801
84,223,5.0,3.862742645015909
84,377,4.0,3.549644665494204
84,509,5.0,4.139639384170598
84,593,5.0,4.351086814222256
86,590,4.0,3.7759880999484086
91,95,3.0,2.7546450041926587
91,158,2.0,2.035828601596159
91,315,3.0,2.236521418867934
91,374,1.0,1.0959985163573318
91,457,4.0,3.659786804973121
91,553,3.5,3.8062111463529362
91,555,3.5,3.4061238538568
91,592,5.0,3.054788800565915
93,1,3.0,5.0
93,329,5.0,4.476252459233636
93,357,4.0,4.363109666138306
94,21,3.0,3.15060471574863
94,47,2.0,3.2958291647262286
94,110,5.0,3.4161945666728846
94,225,3.0,2.8146277704800395
94,380,3.0,3.110575697602722
94,588,4.0,3.239760460565951
95,589,4.0,3.9709236200065066
97,593,5.0,3.521263123497005
98,593,4.5,4.736498380900885
99,196,2.0,3.6794204977337848
99,296,5.0,5.0
99,434,3.0,3.6399348175116284
100,11,4.0,3.8638513859226435
100,168,4.5,3.3456042140272615
100,235,1.0,3.2867601771643047
100,508,4.0,3.8103762960194576
101,233,4.0,3.0092129474059313
102,434,3.0,2.829392845242129
103,1,4.0,4.3094204147460005
103,50,4.0,4.625162187572956
103,150,4.0,3.9002939213787933
103,318,5.0,4.520176101217222
103,344,3.5,3.59468141400691
105,47,5.0,4.185721357176209
105,318,5.0,4.854732028765471
107,105,4.0,2.7656824021049258
107,140,4.0,3.6679813586098864
107,349,4.0,3.515142769942072
107,590,5.0,4.109712470603115
108,509,5.0,3.342763312168673
109,144,3.0,3.5520571553432916
109,315,2.0,2.44535325671893
109,349,3.0,2.8594657591570845
109,364,3.0,3.7947687612691343
109,367,3.0,3.0507243632355463
109,500,3.0,3.000964809883913
109,527,3.0,3.960966637201354
109,553,5.0,3.987273994522769
110,374,1.0,2.7237653894645018
111,34,2.5,4.464294066446718
111,480,2.5,3.7479895739684865
111,500,4.0,3.5767786027398336
112,1,3.0,3.161041987146497
112,16,4.5,2.6511735810946937
112,104,4.0,3.552075050762004
112,253,4.5,2.5961480325236668
112,329,2.5,2.4715069044131033
112,480,5.0,2.858612629932767
113,587,3.0,3.670799659441193
115,296,5.0,4.587221295807085
115,588,4.0,3.443856722089756
115,590,3.0,3.5551427489770733
116,160,4.0,3.3070479144874825
116,586,3.5,3.464577336973371
117,11,4.0,3.6467193906630126
117,44,2.0,2.183655413715085
117,160,3.0,2.2670794533258265
117,253,4.0,3.4833320744518623
117,350,3.0,3.5274650837147266
117,353,3.0,3.692829300587924
117,454,3.0,3.4735486146731205
117,553,4.0,3.794793991107734
117,597,3.0,3.2549627725894132
121,1,4.0,3.3899334592813504
121,246,3.0,3.140682800753419
121,353,3.0,2.6923467756265653
121,377,3.0,3.480923014244545
121,454,3.0,3.329788771134651
123,47,4.5,3.6172672677722675
124,1,4.0,4.105072889345298
124,260,4.0,4.271560354175053
126,329,4.0,2.791141529751375
126,457,5.0,3.4883575690049073
128,110,5.0,4.261519965331901
129,110,4.0,3.776819287033118
129,541,3.5,3.9214107271811214
130,165,4.0,3.9037281472610825
130,317,3.0,3.4253789574092544
130,380,3.0,3.3762513158657113
132,1,2.0,2.9956644177271197
132,17,3.0,3.040653818908045
132,175,3.0,3.1989010974992054
