userId,movieId,rating,timestamp
1,1,4.0,964982703
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,163,5.0,964983650
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,356,4.0,964980962
1,367,4.0,964981710
1,441,4.0,964980868
1,457,5.0,964981909
1,480,4.0,964982346
1,500,3.0,964981208
1,553,5.0,964984153
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,596,5.0,964982838
2,318,3.0,1445714835
4,21,3.0,986935199
4,45,3.0,986935047
4,47,2.0,945173425
4,125,5.0,964622758
4,215,5.0,945079078
4,235,2.0,945173513
4,247,3.0,986848894
4,260,5.0,945079259
4,296,1.0,945173350
4,348,4.0,964622786
4,441,1.0,986934915
4,457,5.0,945079259
4,509,1.0,945079106
4,553,2.0,945079301
4,588,4.0,945079670
4,593,5.0,964539986
4,599,2.0,945078587
5,1,4.0,847434962
5,21,4.0,847435238
5,34,4.0,847434881
5,36,4.0,847435292
5,39,3.0,847434961
5,50,4.0,847434881
5,150,3.0,847434748
5,153,3.0,847434802
5,247,5.0,847435337
5,253,3.0,847435292
5,261,4.0,847435238
5,266,1.0,847435311
5,296,5.0,847434748
5,318,3.0,847434880
5,344,3.0,847434802
5,349,3.0,847434832
5,357,2.0,847435238
5,364,3.0,847434882
5,367,4.0,847435129
5,380,2.0,847434748
5,457,4.0,847434801
5,515,3.0,847435129
5,527,5.0,847434960
5,588,4.0,847434801
5,590,5.0,847434747
5,592,3.0,847434747
5,594,5.0,847435238
5,596,5.0,847435292
5,597,3.0,847434962
6,10,3.0,845553253
6,11,4.0,845553489
6,15,4.0,845554505
6,16,4.0,845553819
6,17,4.0,845553559
6,19,2.0,845553382
6,21,2.0,845553382
6,22,5.0,845553875
6,25,3.0,845553695
6,34,4.0,845553354
6,36,5.0,845553726
6,45,3.0,845553907
6,47,4.0,845553317
6,50,1.0,845553381
6,60,4.0,845554263
6,61,4.0,845555454
6,62,4.0,845553660
6,79,3.0,845554907
6,86,5.0,845556131
6,92,4.0,845555454
6,93,4.0,845554584
6,95,4.0,845553559
6,100,3.0,845555151
