userId,movieId,rating,timestamp
1,223,3.0,964980985
1,349,4.0,964982563
1,527,5.0,964984002
3,527,0.5,1306464275
4,357,3.0,964623306
5,110,4.0,847434880
5,534,3.0,847435311
5,589,3.0,847435258
6,41,4.0,845554962
6,105,3.0,845553757
6,151,4.0,845553586
6,204,3.0,845553619
6,355,4.0,845553819
6,357,3.0,845553457
6,477,4.0,845554141
6,532,3.0,845554224
6,592,3.0,845553109
7,260,5.0,1106635933
8,150,4.0,839463422
8,377,4.0,839463644
8,457,3.0,839463489
11,165,3.0,902154567
11,292,4.0,902154383
11,376,2.0,902154684
11,480,4.0,902154383
12,357,3.5,1247264106
14,19,1.0,835441168
14,39,3.0,835441186
14,47,5.0,835441133
14,318,3.0,835441042
14,509,5.0,835441347
14,527,3.0,835441371
14,553,4.0,835441239
18,1,3.5,1455209816
18,145,3.5,1456864434
18,165,4.0,1455209902
18,296,4.0,1455050745
18,374,2.5,1455617791
18,500,3.5,1455618095
18,541,4.0,1456745325
19,19,2.0,965708339
19,92,2.0,965712048
19,153,2.0,965707889
19,344,2.0,965706566
19,348,2.0,965706276
19,364,3.0,965709102
19,541,4.0,965703555
19,589,5.0,965710720
19,592,5.0,965709445
19,597,3.0,965706967
20,34,4.0,1054038093
20,317,3.5,1054038283
21,356,4.5,1407617845
21,370,5.0,1376823264
21,541,3.5,1452052129
21,586,2.5,1376823478
23,175,3.0,1107162721
26,47,4.0,836950431
27,158,2.0,962685387
28,62,3.5,1242290542
28,224,3.0,1234334917
28,590,4.0,1242290279
28,599,3.0,1234514490
29,150,4.0,1362016794
29,170,3.0,1307905797
29,296,3.5,1362016789
30,260,5.0,1500370339
31,17,3.0,850466616
32,36,4.0,856736172
32,140,3.0,856736262
32,260,5.0,856736227
32,593,5.0,856737081
33,36,5.0,939715317
33,151,4.0,939715904
33,508,3.0,939647015
33,593,5.0,939647370
34,10,5.0,1162048773
35,185,5.0,830939521
38,39,3.0,841341384
38,377,3.0,841341341
38,485,3.0,841341650
39,50,5.0,974788030
39,592,4.0,974789632
39,610,4.0,974789035
40,150,5.0,832058854
40,151,4.0,832059189
40,158,4.0,832059315
40,224,4.0,832059339
40,434,3.0,832058959
40,454,4.0,832059644
41,111,2.0,1459367437
42,104,4.0,996219699
42,193,3.0,996256573
42,383,4.0,996221233
42,527,4.0,996217804
42,553,5.0,996218080
42,592,3.0,996258232
43,95,4.0,848993983
43,367,5.0,848993793
43,454,4.0,848993769
43,592,5.0,848993627
44,36,4.0,869251910
45,185,3.0,950741023
45,541,3.0,950718561
45,586,3.0,951170727
45,594,4.0,950726215
46,39,3.0,834788093
46,266,5.0,834788094
46,588,5.0,834787677
47,597,3.0,1496209349
49,356,4.0,1493089782
50,165,3.0,1514238058
50,296,4.0,1500573696
51,377,3.0,1230931596
54,1,3.0,830247330
54,50,3.0,830248246
54,329,3.0,830247389
54,480,3.0,839921084
54,590,3.0,830247106
56,110,4.0,835799188
56,165,3.0,835799081
56,208,4.0,835799162
56,367,3.0,835799295
56,434,3.0,835799140
56,480,5.0,835799295
56,493,4.0,835799427
57,11,3.0,965797264
57,69,4.0,965797105
57,349,4.0,965798373
57,485,3.0,965797759
57,516,2.0,965797502
57,587,2.0,965797579
57,590,3.0,965798313
58,19,1.0,847718718
58,36,4.0,847718991
58,161,4.0,847718580
58,337,5.0,847718894
58,344,1.0,847718434
58,349,3.0,847718461
58,353,3.0,847718991
58,588,5.0,847718433
58,597,5.0,847718674
59,111,5.0,953608356
59,541,5.0,953609611
60,60,3.0,1393541955
60,318,4.0,1393542053
63,10,3.0,1443201199
63,150,3.0,1443201072
63,318,5.0,1443199751
63,480,2.5,1443199679
64,25,3.5,1161521571
64,36,4.0,1161521343
64,104,3.0,1161528801
64,112,3.0,1161563742
64,160,2.5,1161519628
64,344,3.5,1161520033
64,597,3.5,1161520504
66,21,4.0,1113190363
66,541,5.0,1093748041
66,555,3.5,1093747634
66,590,4.5,1104643930
68,1,2.5,1158531426
68,10,4.5,1158531612
68,160,2.5,1158533372
68,165,3.5,1158531548
68,231,3.5,1158532011
68,317,2.5,1158533037
68,357,1.0,1240092554
68,377,5.0,1158531516
68,380,3.5,1158531354
68,420,1.0,1158533188
68,594,3.0,1158532827
68,597,4.5,1158532014
69,589,4.0,1021643884
69,593,5.0,1021646944
71,17,1.0,864737933
71,160,3.0,864739211
72,260,5.0,1217324775
72,457,4.5,1217324789
72,593,4.5,1217324766
73,150,2.0,1464196379
75,47,2.0,1158968272
76,296,4.5,1439165672
76,588,0.5,1439168197
76,589,3.5,1439168185
79,480,5.0,975282070
80,593,5.0,1377473779
81,296,3.0,845299424
81,329,4.0,845299677
81,364,2.0,845299844
81,367,1.0,845299844
82,104,3.5,1084468090
82,231,4.0,1084467803
83,110,4.0,1332840449
84,17,5.0,857653240
84,223,5.0,857653693
84,377,4.0,858772009
84,509,5.0,857653594
84,593,5.0,857653593
86,590,4.0,1344082811
91,95,3.0,1112711260
91,158,2.0,1112713777
91,315,3.0,1112713686
91,374,1.0,1112716895
91,457,4.0,1112713197
91,553,3.5,1112713485
91,555,3.5,1112713110
91,592,5.0,1112713199
93,1,3.0,942767337
93,329,5.0,942946340
93,357,4.0,942767045
94,21,3.0,843406846
94,47,2.0,843406765
94,110,5.0,843406748
94,225,3.0,843406826
94,380,3.0,843406616
94,588,4.0,843406644
95,589,4.0,1043340485
97,593,5.0,1043382047
98,593,4.5,1532457756
99,196,2.0,829828006
99,296,5.0,829828006
99,434,3.0,829828005
100,11,4.0,1100184041
100,168,4.5,1100185915
100,235,1.0,1100183797
100,508,4.0,1100185928
101,233,4.0,968440983
102,434,3.0,835875943
103,1,4.0,1431954238
103,50,4.0,1431955220
103,150,4.0,1431957022
103,318,5.0,1431954380
103,344,3.5,1431957046
105,47,5.0,1446571714
105,318,5.0,1446571534
107,105,4.0,829322340
107,140,4.0,829322340
107,349,4.0,832003644
107,590,5.0,832003609
108,509,5.0,1042839865
109,144,3.0,841109781
109,315,2.0,841108045
109,349,3.0,841106402
109,364,3.0,841107487
109,367,3.0,841107487
109,500,3.0,841107538
109,527,3.0,841107643
109,553,5.0,841107923
110,374,1.0,1175329527
111,34,2.5,1516153818
111,480,2.5,1516140723
